code,Category,Sub Category,Order,Question,Answer Type,Options,hint text,Influence by question,Expected Answer
1,Health,Moratlity,,What are the cause- specific mortality rates?,Text,,,,
2,Health,Moratlity,,What is the main cause of death?,Multiselection,"phyisical injury, drowning, malnutrition, violence, poor hygiene, diseases",,,
3,Health,Moratlity,,Which age group is most affected?,Multiselection,,,,
4,Health,Moratlity,,Is there a designated burial area? How are they happening?,Yes or No,,,,
5,Health,Nutrition,,Do you have staff trained/specialized on nutrition? ,Yes or No,,,,
6,Health,Nutrition,,Where do you refer to severe cases of malnutrition?,Multiselection,"hospital, local medical center, local doctor",,,
7,Health,Nutrition,,Is there any education given to mothers on healthy nutrition?,Yes or No,,,,
8,Health,Nutrition,,Are there any populations/groups with higher rates of malnutrition than others?,Yes or No,,,,
9,Health,Nutrition,,How many cases of acute malnutrition are known at the moment?,Text,,,,
10,Health,Nutrition,, How many cases of acute malnutrition are referred to the patient feeding programme?,Text,,,,
11,Education,General,1,Are the schools operating?,Yes or No,,,,
260,Education,General,4,Are students attending school?,Yes or No,,,,
12,Education,General,8,Is there any alternative education available?,Yes or No,"informal education programs, afternoon activities",,11,No
13,Education,General,2,Is participation at school dependent on Age?,Yes or No,,,11,Yes
14,Education,General,3,Is participation at school dependent on Gender?,Yes or No,,,11,Yes
15,Education,General,6,Are the schools physically accessible?,Yes or No,,,11,No
16,Education,General,9,What do local authorities do about the education status?,Multiselection,"Establish temporary learning centers, Provide educational materials and supplies, Arrange for remote/virtual learning options, Collaborate with NGOs for education support, Lack significant intervention for education, Implement teacher training programs",,11,No
17,Education,General,10,Who are the actors working in education in the area?,Multiselection,"NGOs, community groups, religious groups, private tutors",,11,No
18,Education,General,11,What specific services is the organization providing and in what setting? ,Multiselection,"Formal education in schools,Non-formal education in community centers,Vocational training in specialized training centers,Online courses and digital learning platforms,Adult education programs in local facilities,Early childhood education in preschools or kindergartens,Literacy programs for disadvantaged groups
h,Tutoring and academic support services, Educational workshops and seminars",,,
19,Education,General,12, Who provides non-formal educational activities?,Multiselection,"Local community organizations, International NGOs, Local government agencies, Religious institutions, Informal volunteer groups, No organized non-formal education available",,30,Yes
20,Education,General,13, Are learning materials available?,Yes or No,,,,
22,Education,General,15, How is the quality of the online education?,Multiselection,"poor,average,great",,21,Yes
24,Education,General,7, What condition are the schools in?,Multiselection,"Destroyed, partialy accessible, mostly accessible, unchanged",,,
25,Education,General,5, What are the reasons why children don’t attend schools/learning centers?,Multiselection,"Unreachable, discrimination, safety rules, joining the work force",,260,No
26,Education,General,,Is there any existing support accessible for the community? ,Yes or No,,,11,No
27,Education,General,,What existing support is accessible for the community? ,Multiselection,"volunteer teachers, afternoon educational activities, informal education programmes",,26,Yes
28,Education,General,, Are there high risk populations among the students?,Yes or No,,,,
29,Education,General,,What specific services is the organization providing and in what setting? ,Multiselection," Formal education in schools,Non-formal education in community centers
,Vocational training in specialized training centers,Online courses and digital learning platforms,Adult education programs in local facilities,Early childhood education in preschools or kindergartens,Literacy programs for disadvantaged groups,Tutoring and academic support services
i) Educational workshops and seminars",,,
30,Education,General,,Does non-formal education exist?,Yes or No,,,,
21,Education,General,13, Is online learning offered? ,Yes or No,,,11,No
32,Education,General,, How is the quality of  in person education?,Multiselection,"poor,average,great",,15,Yes
23,Education,General,, Are the schools being used as shelters?,Yes or No,,,11,No
34,Education,Refugees/IDPs/Migrants,, Are there language barriers? ,Yes or No,,,194,Yes
35,Education,Refugees/IDPs/Migrants,,Is there a need for translation?,Yes or No,,,34,Yes
36,Education,Refugees/IDPs/Migrants,, How can we identify partners for dealing with language barriers? ,Multiselection,"Limited vocabulary,different languages, language complexity, regional accents and pronunciation challenges ",,34,Yes
37,Education,Refugees/IDPs/Migrants,, Are there refugees that were teachers before?,Yes or No,,,194,Yes
38,Education,Refugees/IDPs/Migrants,,How can they be supported and integrated? Are there specific training requirements? ,Multiselection," Financial support for resources and infrastructure,Technical assistance and expertise
,Strengthening community engagement and participation, Integration into existing programs and initiatives, Collaboration with relevant stakeholders and organizations,Training in specific skills and knowledge, Capacity-building workshops for community members,Customized training based on identified needs,Ongoing monitoring and evaluation",,37,Yes
39,Education,Refugees/IDPs/Migrants,, What possible collaborations exist for dealing education for Refugees/IDPs/Migrants?,Multiselection,"Partnerships with international NGOs, coordination with UN agencies, Collaboration with local schools and universities, Involvement of community-based organizations, Joint efforts with host country's education authorities, Engagement of private sector for funding and resources, Limited collaborative efforts for education provision",,,
40,Education,Refugees/IDPs/Migrants,, Are any extracurricular activities offered? (refer to MHPSS),Yes or No,,,,
41,Protection - MHPSS - CFS,vulnerable populations,,Are there any vulnerable populations in your community?,Yes or No,,,,
42,Protection - MHPSS - CFS,Community,,What are the existing support services in your community? ,Multiselection,"NGOs, CBOs, shelters, government services, education institutions, spiritual institutions, health services",,,
43,Protection - MHPSS - CFS,Community,,What do community members normally do to overcome difficulties/deal with distress? ,Multiselection,"Mutual support and solidarity. Seeking help from local leaders, Relying on traditional healing practices, Forming self-help groups, Engaging in religious or spiritual practices, Collaborating with external aid organizations, No distinct strategies observed",,,
44,Protection - MHPSS - CFS,vulnerable populations,,Do vulnerable populations have access to shelters or safe spaces?,Yes or No,,,41,Yes
